user,text,latitude,longitude
EstevesVivian,b'Maratona HP com almo?o delicinha ?????\n#feriado #potterhead #meusamigos #taounicos #taomeus em? https://t.co/aergrrD6Ig',-23.547343,-46.649265
CarlosFadiga,b'2? JOTA em Casa Guilherme de Almeida https://t.co/Aan5MGQh7S',-23.54681,-46.67405
JeeCruz03,b'Voc? realmente ? mais que uma amiga. ? uma irm?/companheira que a vida me trouxe pra eu puxar a? https://t.co/WgzmtyODTe',-23.55163768,-46.65089966
AndreaDurazzo,b'que  sobremesa arretada de boa !!! em Sotero Cozinha Original https://t.co/SSY1tEJh2o',-23.538446,-46.65379974
Raianne_,"b'? (@ Bai?o Brasil in S?o Paulo, Sp) https://t.co/W93eNgD7f0'",-23.54446748,-46.64889154
Thaysoliveeira_,b'????? em Santa Cec?lia https://t.co/ZRMvtVbU8V',-23.5387389,-46.649613
BeerXp,b'Drinking an American Amber Ale by Cervejaria Ddiva @ Sabor Latino Comer e Beber Artesanal ? https://t.co/LI6zjELxa4 #photo',-23.5394,-46.6787
sedeugsisi,"b""I'm at ISKCON S?o Paulo Hare Krishna in S?o Paulo https://t.co/Z8FJNVQlAj""",-23.55207054,-46.66385425
AndreaDurazzo,"b'Feriado tipicamente paulista, saboreando comida baiana ! ? #sotero? https://t.co/cXZTLbrAq8'",-23.538446,-46.65379974
PauliiinhoO,"b""I'm at Viaduto Sumar? in S?o Paulo, SP https://t.co/wlIjI1WjPW""",-23.55115439,-46.6778032
PauliiinhoO,"b""I'm at Parque Da Sabesp in S?o Paulo https://t.co/sPYricBJ28""",-23.54468688,-46.6824015
vmolochenco,"b'J? fui magrinho e j? joguei com o Messi... Chupa ediperes, aqui sim ? boleiro! em Ibrage? https://t.co/r5JSrCEP4O'",-23.5445496,-46.6504445
zieldncer,b'Beleza minha na bela @ThainaMaciel9 para o desfile de @galopesc com @Oceanefemme diormakeup? https://t.co/c0yibXQDBM',-23.53608453,-46.6649437
Adedeciero,b'Uma pr?via de ontem ao vivo # #gravacaodvd  #grava??o da dupla sertaneja #sidneysilvaealex? https://t.co/fKfhiXNZkO',-23.54860553,-46.66522264
ree_atwood,"b""I'm at @SmartFitOficial in S?o Paulo, SP https://t.co/gIoNaivDCu""",-23.53834381,-46.65222084
Jeff_aber,"b'Feriado tem treino! ??? (at @SmartFitOficial in S?o Paulo, SP) https://t.co/gzlePyVSj3'",-23.53719948,-46.65788186
Jeff_aber,"b""I'm at Higien?polis - @sp_prefeitura in S?o Paulo, SP https://t.co/Cu8JCk6Jca""",-23.54360062,-46.65806596
pr_lino07,"b'Esses caras na foto comigo s?o pastores, sim somos todos barbudos? https://t.co/sfHFtYAaD0'",-23.54227407,-46.68342711
Flavio_Cavinato,"b""I'm at Krystal Chopps in S?o Paulo, SP https://t.co/lUetKsp042""",-23.53752914,-46.66806002
Fadano,"b'Pernas/Panturrilha (at @SmartFitOficial in S?o Paulo, SP) https://t.co/3J2B3YHX0I'",-23.53834381,-46.65222084
luciorkov,"b""I'm at Ciclovia Sumar?/Paulo VI in S?o Paulo, SP https://t.co/DvWj3siroI""",-23.54228655,-46.67633183
bbernardi28,b'@flacavasotti para @kwi_oficial\n.\n#Shooting incr?vel produzido pela tamygamberini? https://t.co/UJPSlnqBkq',-23.54905,-46.68019
bbernardi28,b'@flacavasotti para @kwi_oficial\n.\n#Shooting incr?vel produzido pela tamygamberini? https://t.co/8EK4Z7sNkF',-23.54905,-46.68019
bbernardi28,b'@flacavasotti para @kwi_oficial\n.\n#Shooting incr?vel produzido pela tamygamberini? https://t.co/PAJKVqUqvQ',-23.54905,-46.68019
mimilfreitas,"b'ganhei vip e fui pra balada comer bolo e bolinha de queijo (a?, agora eu baixei o app de tirar? https://t.co/lSRB3IPDHa'",-23.5510502,-46.6496582
mariaflaviac,b'pr? treino do feriado ?? #morning #holiday #boomerang em Le Pain Quotidien - P?tio Higien?polis https://t.co/3fxN8fn6do',-23.54268283,-46.65812542
mimilfreitas,"b'ganhei vip e fui pra balada comer bolo e bolinha de queijo (a?, agora eu baixei app de tirar? https://t.co/6IVKxlpWAQ'",-23.5510502,-46.6496582
kgsakamoto,b'Se fazendo de t?mido da foto huahua #teo #instadog em Santa Cec?lia https://t.co/ZkFrYp1EUi',-23.538711,-46.649644
FefisAraujo,"b""#ficaadica #beeperigosa #loveit #tipoftheday #? em Bundchen's House https://t.co/rKgbq8hD6j""",-23.55238554,-46.65182192
Danimazzela,"b""I'm at Edif?cio Villa Tupi in Higien?polis https://t.co/er39tjX1Uj""",-23.54198359,-46.65378025
allaboutaryah,b'? em Santa Cec?lia https://t.co/qr0fG9Nz6R',-23.538711,-46.649644
screamyell,b'De ontem - Drinking a V?u da Noiva - Session Haze by @walscervejas @ Esquina das Primas  ? https://t.co/uCt5KZ278Q #photo',-23.5529,-46.6566
screamyell,b'De ontem - Drinking an Adri?tica by AmBev @ Esquina das Primas  ? https://t.co/D10wwmUmdQ #photo',-23.5529,-46.6566
